نام دوره به فارسی,نام دوره به انگلیسی,شهریه دوره,کد دوره,تعداد ساعت کلاس
ICDL کاربر,ICDL User,7740000,TC-ICDL-01,36
طراحی سایت فروشگاهی برنامه‌نویسی,Programming E-commerce Website,18000000,TC-WEB-PRG-02,30
کاربر ICDL,,7740000,EDU-1,36
ویژه بازار کار (Word-Excel-PowerPoint),,9500000,EDU-2,24
طراحی کتاب با هوش مصنوعی,,6500000,EDU-3,6
طراحی فاکتور و حسابداری در Excel,,7610000,EDU-4,8
ورد و اکسل مبتدی (خصوصی),,7000000,EDU-5,8
ورد و اکسل پیشرفته (خصوصی),,8200000,EDU-6,8
فتوشاپ مقدماتی,,8720000,EDU-7,20
فتوشاپ پیشرفته,,10500000,EDU-8,20
ایلاستریتور مقدماتی,,8860000,EDU-9,24
ایلاستریتور پیشرفته,,10000000,EDU-10,24
کمپ جامع افترافکت,,18940000,EDU-11,36
کمپ جامع کورل,,9000000,EDU-12,20
طراحی سایت فروشگاهی با وردپرس (قالب ساز),,13960000,EDU-13,20
طراحی سایت فروشگاهی با برنامه نویسی,,18000000,EDU-14,30
SEO مدیر,,27950000,EDU-15,30
دوره جامع UI/UX,,35000000,EDU-16,40
Network+,,6250000,EDU-17,12
ساخت VPN,,6000000,EDU-18,8
برنامه‌نویسی وب مقدماتی (HTML, CSS, PHP),,23000000,EDU-19,48
برنامه‌نویسی Java,,16700000,EDU-20,30
برنامه نویسی Python مقدماتی,,10000000,EDU-21,20
برنامه نویسی Python پیشرفته,,14000000,EDU-22,24
برنامه نویسی ارشد پیشرفته و کدزنی,,36000000,EDU-23,90
تایپ و تندزنی,,3500000,EDU-24,6
تکنسین سخت افزار کامپیوتر (اسمبل و ارتقاء سیستم),,18500000,EDU-25,24
تدوین فیلم و صدا با SSP,,22850000,EDU-26,36
دوره جامع اتوکد (2 بعدی و 3 بعدی),,13800000,EDU-27,30
بوت کمپ Premiere,,7870000,EDU-28,20
کمپ گرافیک رایانه INDESIGN,,7500000,EDU-29,24
موشن گرافیک و طراح جلوه‌های ویژه با ایلاستریتور و افترافکت,,26870000,EDU-30,36
فروش و بازاریابی,,18000000,EDU-31,18
دوره جامع منابع انسانی,,20000000,EDU-32,18
کارگاه کارآفرینی,,30000000,EDU-33,16
دوره جامع خلاقیت,,10000000,EDU-34,12
دوره رباتیک مقدماتی ترمیک 5 (زیر 15 سال),,15250000,EDU-35,16
دوره رباتیک پیشرفته ترمیک 8 (زیر 15 سال),,19150000,EDU-36,20
داستان نویسی اسکرچ جونیور (10 تا 12 سال),,6200000,EDU-37,12
بازی سازی با اسکرچ (12 تا 15 سال),,8450000,EDU-38,16
دوره اصول فنون مذاکره (ویژه بازار کار),,5000000,EDU-39,8
دوره‌های گرافیک دیزاین (آپدیت متخصصین),,20000000,EDU-40,16
طراحی محصول و بسته بندی (تخصصی),,25000000,EDU-41,12
طراحی لوگو (تخصصی),,20000000,EDU-42,12
هوش تجاری با نرم افزار QlikView,,26000000,EDU-43,20
ابزارهای هوش مصنوعی و پرامپت نویسی,,5000000,EDU-44,6
تولید محتوا با موبایل و هوش مصنوعی,,15000000,EDU-45,16
نویسندگی خلاق و کپی رایتینگ,,6000000,EDU-46,6
نقاشی خلاقانه و پاسپارتو,,7000000,EDU-47,10
بوت کمپ اختراعات,,18000000,EDU-48,24
عکاسی با موبایل و طراحی آلبوم محصول با هوش مصنوعی,,10000000,EDU-49,12
موشن پاور,,5000000,EDU-50,6
داشبورد مدیریت حرفه‌ای Power BI,,11450000,EDU-51,20
بازاریاب فروش,,25000000,EDU-52,24
حسابداری حقوق و دستمزد,,6500000,EDU-53,12
حسابداری عمومی مقدماتی,,9240000,EDU-54,24
حسابداری عمومی پیشرفته (با سامانه مالیاتی),,34000000,EDU-55,30
لینوکس ترمیک (2 ترم),,12000000,EDU-56,24
برنامه‌نویسی با Matlab,,12380000,EDU-57,16
کسب درآمد از یوتیوب,,10000000,EDU-58,8
وبلاگ‌نویسی وب‌سایت,,5000000,EDU-59,8
مدیر تبلیغات و بازاریابی (کمپین تبلیغاتی),,18000000,EDU-60,20
مدیریت برند,,20000000,EDU-61,16
3D Max سه‌بعدی‌سازی,,10000000,EDU-62,16
نرم‌افزار حسابداری سپیدار,,6640000,EDU-63,12
خلاقیت در صنعت تبلیغات,,20000000,EDU-64,20
Visio 2020,,6400000,EDU-65,12
Word 2020,,6400000,EDU-66,12
Excel 2020,,7650000,EDU-67,12
PowerPoint 2020,,5000000,EDU-68,12
Access 2020,,7800000,EDU-69,8
Outlook 2020,,4200000,EDU-70,6
ساخت ربات و چت‌بات با هوش مصنوعی,,8000000,EDU-71,8
تصویرسازی و ساخت ویدیو با هوش مصنوعی,,10000000,EDU-72,8
بوت‌کمپ متاورس,,15000000,EDU-73,12
الگوریتم‌نویسی با هوش مصنوعی,,10000000,EDU-74,12